Kabupaten/Kota,TOTAL,DAGING,TELUR DAN SUSU,IKAN,Daging_sapi,"Daging_kambing,_domba/biri-biri",Daging_babi,Daging_ayam_ras,Daging_ayam_kampung,Daging_segar_lainnya,Daging_diawetkan_lainnya,"Tetelan,_sandung_lamur",Daging_olahan_matang,"Lainnya_(_hati,_jeroan,_iga,_kaki,_buntut,_kepala,_dsb)",Ayam_matang,Telur_ayam_ras,Telur_ayam_kampung,Telur_itik/telur_itik_manila,"Telur_lainnya_(telur_puyuh,_telur_asin_mentah_maupun_matang,_telur_penyu,_telur_angsa,_dsb)",Susu_cair_pabrik,Susu_kental_manis,Susu_bubuk,Susu_bubuk_bayi,Susu_lainnya_dan_hasil_lain_dari_susu,Ekor_kuning,Tongkol_tuna_cakalang_dencis_ikan_kayu,Tongkol,Tuna,"Cakalang,dencis",Tenggiri,Selar,"Kembung,_lema/tatare,_banyar/banyara",Teri,Bandeng,Gabus,Mujair,"Mas,_nila",Mas,Nila,Lele,Kakap,Baronang,Patin,Bawal,Gurame,Ikan_segar/basah_lainnya,"Udang,_lobster","Cumi-cumi,_sotong,_gurita","Ketam,_kepiting,_rajungan","Kerang,_siput,_bekicot,_remis",Udang_dan_hewan_air_lainnya_yang_segar_lainnya,Kembung_diawetkan/peda,Tenggiri_diawetkan,Tongkol/tuna/cakalang_diawetkan,Teri_diawetkan,Selar_diawetkan,Sepat_diawetkan,Bandeng_diawetkan,Gabus_diawetkan,"Ikan_dalam_kaleng_(sardencis,_tuna_dalam_kaleng,_dsb)",Ikan_diawetkan_lainnya,"Udang_diawetkan_(ebi,_rebon)","Cumi-cumi,_sotong,_gurita_diawetkan",ang_dan_hewan_air_lainnya_yang_diawetkan,Ikan_matang
Simeulue,22868,2972,4954,14942,517,0,0,768,1103,27,0,19,44,103,391,2079,271,9,18,28,767,847,909,27,710,4297,0,0,0,411,966,1566,294,54,105,100,0,0,0,126,600,51,0,0,12,2043,792,1347,193,71,53,30,0,106,220,87,2,0,4,13,190,4,0,4,1201
Aceh Singkil,23447,2562,4844,16041,210,0,108,1331,153,5,0,0,348,11,396,2425,80,2,17,25,632,693,829,143,133,4822,0,0,0,281,10,836,184,48,698,181,1905,0,0,385,118,11,25,0,20,2384,770,569,55,53,74,21,16,89,366,19,24,0,7,22,666,9,15,109,1249
Aceh Selatan,23642,1811,4098,17733,72,0,0,892,463,13,0,0,44,0,327,2125,266,16,22,55,319,837,402,57,913,5489,0,0,0,346,2622,2862,912,51,52,147,155,0,0,232,656,41,8,42,5,753,490,273,21,34,43,84,52,233,943,231,23,0,0,23,148,116,0,6,640
Aceh Tenggara,25578,5651,4468,15459,617,98,374,2232,1310,135,14,28,335,21,487,2418,177,466,112,0,417,721,126,31,85,1796,0,0,0,29,75,374,847,82,248,2291,3715,0,0,519,18,0,0,0,0,104,187,152,10,0,13,785,20,286,2275,219,44,26,20,117,510,353,11,28,305
Aceh Timur,20485,2837,3649,13999,669,0,0,1116,479,42,0,0,375,8,148,1922,114,92,61,31,464,167,630,167,931,4234,0,0,0,116,484,1414,444,2580,75,593,11,0,0,168,299,0,0,244,12,578,1201,238,83,19,98,102,6,82,458,107,1,59,0,27,128,12,0,33,93
Aceh Tengah,25053,3862,6536,14655,168,0,0,1901,587,161,0,9,755,0,281,3414,235,59,9,40,534,976,1257,12,14,2065,0,0,0,2,60,1227,91,3871,71,2922,717,0,0,175,42,0,0,96,0,375,1047,156,0,11,7,31,4,111,360,55,26,11,7,35,577,24,11,33,435
Aceh Barat,29643,4614,5385,19644,144,0,0,1391,1019,448,63,40,141,10,1358,2724,328,92,199,81,330,681,927,23,249,6856,0,0,0,227,260,2717,351,612,754,54,348,0,0,392,1012,0,22,225,4,1560,1072,307,81,261,340,233,8,216,414,14,0,2,63,30,192,202,1,17,797
Aceh Besar,34219,4510,6915,22794,1136,83,0,2067,520,70,0,27,240,36,331,3245,194,218,102,94,242,986,1521,313,376,8028,0,0,0,203,334,2403,1214,753,205,364,58,0,0,193,405,7,6,156,11,895,2541,1475,62,106,505,80,32,449,1139,52,0,16,5,19,144,105,92,8,729
Pidie,24790,2407,6551,15832,290,48,0,831,256,112,106,0,598,5,161,2889,129,136,96,103,206,834,2067,90,213,4853,0,0,0,163,618,1681,1154,1781,58,536,111,0,0,25,127,104,23,61,74,383,2352,404,59,32,191,179,22,54,390,56,6,15,0,3,152,23,0,3,139
Bireuen,25339,2738,4808,17793,410,0,0,845,814,26,0,0,312,0,331,2347,105,78,93,103,167,682,1185,48,94,5362,0,0,0,91,286,1419,1454,2779,107,837,84,0,0,8,78,26,0,43,33,623,2566,233,71,31,140,130,20,148,499,61,20,38,8,11,193,33,0,20,341
Aceh Utara,22417,2355,5066,14996,559,20,0,1140,200,45,0,0,179,0,212,2130,76,105,85,23,309,295,2016,27,522,4226,0,0,0,62,541,1421,535,2738,141,1008,28,0,0,73,283,20,0,11,39,510,1194,256,12,46,180,181,59,141,452,121,9,46,19,13,113,75,0,14,429
Aceh Barat Daya,19818,1636,4001,14181,3,9,0,663,601,272,0,0,18,0,70,2145,162,78,35,61,322,558,640,1,247,4856,0,0,0,167,668,1894,1183,45,163,233,97,0,0,267,169,0,0,50,21,1198,711,503,76,5,70,46,28,134,904,91,11,3,0,2,106,196,0,9,275
Gayo Lues,40819,11841,6905,22073,1969,327,7,4454,3435,583,0,22,593,69,382,3338,75,874,106,54,665,828,878,86,7,2875,0,0,0,7,84,354,263,543,99,3317,4574,0,0,496,44,13,25,65,86,774,830,446,0,33,15,905,0,53,4426,57,5,2,157,115,471,177,56,220,486
Aceh Tamiang,23139,3876,5567,13696,497,4,0,1241,829,0,0,18,791,0,496,3026,60,9,39,26,595,762,976,75,111,4376,0,0,0,25,100,884,113,1289,66,255,101,0,0,253,90,2,17,19,68,1894,1293,162,255,105,56,19,1,67,478,43,0,1,9,27,349,6,4,9,1260
Nagan Raya,23883,3143,4428,16312,436,0,0,1511,728,136,56,94,70,15,97,2676,167,210,157,30,565,358,265,0,229,5173,0,0,0,77,291,1414,548,750,1327,102,980,0,0,1178,30,16,43,119,50,1141,884,72,47,117,97,141,47,328,471,71,37,24,48,66,194,185,0,27,217
Aceh Jaya,29768,4003,5023,20742,724,62,76,1631,1068,62,0,0,109,15,256,2555,265,192,133,146,210,601,921,0,701,6222,0,0,0,289,271,2096,554,767,345,181,560,0,0,210,443,28,45,98,31,2061,2560,809,244,440,50,114,47,258,599,41,33,31,29,117,121,210,0,8,830
Bener Meriah,26028,4328,5418,16282,151,43,0,1774,497,706,0,0,850,0,307,3512,70,36,9,36,424,476,838,17,145,2689,0,0,0,11,67,1330,210,4914,98,2852,418,0,0,37,12,0,0,175,0,118,873,137,0,17,9,9,8,221,290,24,11,11,10,99,387,3,0,122,1120
Pidie Jaya,28279,2391,5477,20411,68,0,0,893,1135,77,0,0,54,0,164,2462,130,131,320,2,179,541,1217,494,540,4576,0,0,0,225,718,1977,1506,2914,78,1305,81,0,0,175,478,61,0,0,70,851,2897,556,155,52,774,86,44,106,338,90,14,25,0,7,87,0,0,9,156
Kota Banda Aceh,41786,8687,9297,23802,1853,0,0,2652,317,15,40,169,319,0,3322,3021,111,76,25,285,404,3285,1723,369,197,6458,0,0,0,100,117,2286,782,739,62,780,43,0,0,112,453,29,0,19,11,1476,3949,1939,212,60,416,90,7,143,788,12,0,0,3,0,290,31,6,12,2377
Kota Sabang,43625,5787,10670,27168,881,0,0,2032,620,0,0,42,258,62,1892,3587,432,97,82,346,647,2526,2617,336,1150,9249,0,0,0,176,165,3015,1937,212,16,212,308,0,0,105,612,64,0,61,60,1987,2486,1221,60,18,0,255,10,212,705,50,20,0,0,0,220,80,95,0,3557
Kota Langsa,30232,5310,7788,17134,544,48,0,1829,329,33,50,4,1067,37,1369,3438,128,73,276,301,526,1505,1359,182,114,4469,0,0,0,18,205,1345,288,936,93,385,19,0,0,180,281,50,17,156,11,1353,2653,755,3,40,39,55,11,62,388,17,4,0,19,8,335,17,7,6,2909
Kota Lhokseumawe,34395,4646,8090,21659,582,16,18,1842,214,21,7,43,553,11,1339,2661,75,58,50,231,300,2149,2523,43,407,5758,0,0,0,342,678,1913,1377,2141,120,627,20,0,0,68,503,0,0,123,56,642,3498,1363,6,62,288,151,2,134,400,43,0,13,0,4,106,42,17,8,1154
Kota Subulussalam,21899,3392,5186,13321,129,0,0,1522,991,16,0,0,309,0,425,2812,136,59,11,0,605,743,580,240,68,5018,0,0,0,73,52,411,285,63,673,807,1664,0,0,293,52,0,54,126,0,600,528,236,70,0,32,12,0,36,949,101,15,0,16,0,535,7,0,73,540
Nias,21546,8477,3894,9175,0,0,5154,1641,1572,20,0,0,0,0,90,2249,354,54,0,26,255,216,532,207,80,3746,0,0,0,230,134,121,111,0,0,120,33,0,0,301,29,0,0,0,0,140,0,0,0,0,12,84,131,788,1282,18,0,0,23,14,1700,0,0,16,142
Mandailing Natal,20228,2698,4732,12798,168,0,8,1641,331,40,0,0,176,42,292,2341,317,218,46,44,195,1094,390,88,256,3642,0,0,0,473,94,427,185,16,269,428,2185,0,0,479,3,0,0,14,26,932,384,319,136,2,47,117,70,218,1046,59,103,27,69,104,517,118,0,57,232
Tapanuli Selatan,21362,4100,4287,12975,260,0,295,1874,571,68,0,0,389,25,618,2609,363,160,103,2,225,207,614,3,224,3505,0,0,0,141,162,736,80,11,49,689,2426,0,0,322,52,0,59,0,18,433,117,90,0,0,53,153,68,439,1218,122,11,6,34,105,849,316,40,310,361
Tapanuli Tengah,23454,4399,4584,14471,94,0,535,1106,509,105,9,0,185,4,1852,1807,349,42,37,28,419,1298,596,8,642,3285,0,0,0,110,338,2934,386,11,248,63,289,0,0,207,82,123,7,106,60,1868,117,276,2,22,24,157,29,219,908,67,4,11,15,4,1149,9,0,23,1318
Tapanuli Utara,27461,5971,5794,15696,18,0,2891,1199,856,740,46,0,31,18,172,2077,264,179,15,7,203,1844,1104,101,198,3197,0,0,0,58,13,280,59,12,11,3363,1240,0,0,342,91,0,0,0,0,135,15,92,0,0,0,326,5,143,3115,186,19,7,36,6,2727,45,5,90,78
Toba Samosir,39977,8130,9669,22178,92,0,2927,1155,2021,645,17,8,162,17,1086,2078,766,683,20,68,469,4337,1149,100,235,3307,0,0,0,14,48,606,202,9,150,5940,1997,0,0,936,22,0,5,74,0,118,210,113,29,9,0,241,32,62,3591,56,7,31,38,2,2077,141,10,431,1670
Labuhan Batu,31204,5734,8040,17430,584,67,208,2608,857,25,18,39,459,228,641,3081,363,179,101,20,727,2245,1267,58,71,2028,0,0,0,32,157,2193,221,18,1634,893,1234,0,0,1139,104,0,387,217,38,1458,752,204,285,571,22,268,4,35,1615,97,41,0,24,50,313,409,28,75,884
Asahan,29938,5164,7390,17384,304,0,43,2521,1115,43,0,17,352,104,665,2893,363,286,125,5,777,1531,1200,211,42,2583,0,0,0,10,247,2464,40,21,1226,538,943,0,0,818,28,0,115,48,203,1890,588,177,217,606,108,128,9,52,1587,339,16,2,4,49,444,354,54,46,1430
Simalungun,30268,7067,7608,15593,479,18,1234,1802,1791,163,2,70,694,133,681,2777,455,336,54,4,752,1992,1142,98,61,2665,0,0,0,0,90,1214,50,6,303,614,2227,0,0,1224,35,0,87,52,8,371,386,134,84,281,0,705,23,93,2626,338,26,2,8,44,653,215,36,85,908
Dairi,32442,7890,7747,16805,167,0,3326,1439,1949,352,0,0,93,22,542,2305,623,62,10,40,423,2404,1756,124,51,2499,0,0,0,0,19,452,211,0,149,2984,2021,0,0,552,26,0,9,32,0,277,98,89,0,65,0,110,17,178,2915,437,7,30,81,23,2792,74,28,364,266
Karo,40907,10834,9233,20840,651,1,2632,2138,2245,200,37,23,507,196,2204,3400,417,116,65,119,485,2608,1919,104,82,3827,0,0,0,10,59,574,165,4,0,344,4598,0,0,1080,40,0,44,114,18,375,868,141,68,46,76,719,1,36,4007,249,53,73,50,50,1032,1210,106,153,650
Deli Serdang,32265,7619,7734,16912,357,0,292,3819,573,0,6,72,970,224,1306,3409,253,101,154,76,661,1444,1451,184,219,4344,0,0,0,25,239,1773,140,24,235,275,1731,0,0,1272,147,0,28,27,35,579,1530,363,167,277,290,284,12,18,2049,40,16,0,3,68,196,189,1,25,510
Langkat,24911,5677,6982,12252,133,4,117,2262,905,6,0,28,1038,77,1107,2730,212,207,65,57,975,1450,1056,229,102,2765,0,0,0,61,141,1171,113,62,387,116,1164,0,0,746,48,67,25,6,79,1262,845,253,49,53,204,127,11,21,1513,28,19,1,13,8,205,30,10,13,636
Nias Selatan,25749,8170,5888,11691,47,10,4498,1623,1801,47,0,0,6,49,89,2196,735,36,4,14,335,927,1613,26,586,5571,0,0,0,406,376,229,319,10,119,95,40,0,0,50,232,0,163,0,96,272,213,775,8,7,0,80,28,485,1164,46,0,0,1,26,712,0,0,0,168
Humbang Hasundutan,28301,5280,5815,17206,71,0,2569,943,1335,35,0,0,118,0,209,2206,418,131,96,40,300,1862,762,0,17,2215,0,0,0,55,0,291,289,0,53,3666,993,0,0,537,45,0,0,0,25,347,71,34,24,0,7,429,77,435,3166,203,60,22,105,9,3280,42,12,179,535
Pakpak Bharat,28673,6518,7371,14784,103,0,1925,1229,2678,220,0,0,64,7,292,2959,734,91,32,43,877,1120,1513,1,73,2560,0,0,0,0,0,157,39,14,25,2397,1762,0,0,360,0,0,0,0,0,130,179,96,33,0,39,228,0,229,2276,71,17,0,0,33,3877,60,0,146,56
Samosir,35821,7437,7058,21326,78,12,2758,803,1641,1008,31,0,68,14,1024,2213,465,78,35,35,436,2667,1039,91,21,1313,0,0,0,0,71,160,718,0,198,8179,1276,0,0,195,0,0,0,0,0,35,296,35,0,0,0,170,82,120,4205,820,127,12,3,0,2305,1,3,161,841
Serdang Bedagai,26747,5930,6997,13820,200,57,132,1622,957,61,0,46,799,35,2021,2615,115,568,43,30,741,1436,1378,72,89,2772,0,0,0,12,197,2104,21,50,580,209,743,0,0,562,46,10,43,65,79,2100,574,259,127,305,18,132,1,36,1399,30,7,0,4,29,552,117,1,39,597
Batu Bara,26297,4607,5973,15717,135,0,128,1842,799,50,0,0,746,46,861,2508,138,290,12,0,633,1005,1333,54,97,2287,0,0,0,40,365,3643,139,13,627,230,1043,0,0,320,15,0,13,123,85,1909,922,373,144,234,95,66,6,18,1311,149,4,0,3,10,410,90,4,19,1007
Padang Lawas Utara,23511,4382,5344,13785,160,0,76,1825,734,10,0,0,196,18,1363,2296,637,105,58,16,508,1090,633,1,8,1728,0,0,0,0,22,328,127,0,293,37,2612,0,0,1550,63,0,86,8,24,1143,182,42,0,20,17,251,2,409,2285,99,107,6,15,74,900,685,32,74,564
Padang Lawas,21466,4506,4562,12398,310,0,14,2136,1155,40,0,0,536,79,236,2803,613,86,26,45,339,400,247,2,15,1513,0,0,0,13,94,252,247,0,222,116,2772,0,0,1402,47,8,112,31,25,1486,154,66,17,75,76,140,15,404,1706,40,0,2,78,210,309,532,12,96,126
Labuhan Batu Selatan,27957,5067,6859,16031,166,34,106,2462,996,16,0,25,673,86,503,2835,308,63,39,10,860,1460,1274,10,8,1699,0,0,0,13,2,1264,177,0,2679,104,1955,0,0,1096,8,20,480,198,46,1408,377,66,100,306,0,358,1,125,1978,69,34,0,3,94,280,507,8,65,511
Labuhan Batu Utara,28032,5179,5968,16885,227,43,113,1805,1448,24,0,11,801,76,631,2840,384,78,57,48,782,835,901,42,171,1636,0,0,0,25,131,2121,225,124,2075,141,1734,0,0,852,0,9,165,70,48,1933,739,188,123,365,59,215,9,172,1744,359,90,3,1,16,126,546,53,52,736
Nias Utara,24758,7283,4913,12562,19,0,4401,1736,608,230,0,0,67,0,222,2176,601,10,29,28,366,276,1318,108,322,4758,0,0,0,314,1326,372,836,12,56,33,48,0,0,78,403,21,7,88,44,282,10,354,0,37,0,35,52,1086,948,154,5,0,0,40,752,38,11,285,77
Nias Barat,21976,7720,4660,9596,43,4,4724,1229,1300,7,0,0,34,0,379,2035,439,0,1,16,221,505,1342,101,51,2770,0,0,0,80,692,263,198,8,107,23,149,0,0,86,93,0,0,0,6,457,0,12,10,0,0,67,0,378,1669,56,0,0,9,56,2065,6,0,21,315
Kota Sibolga,31831,3156,7630,21045,45,24,193,1223,85,218,7,6,640,53,662,2039,330,64,48,110,524,3135,1247,133,458,4475,0,0,0,178,390,3615,518,3,85,59,103,0,0,109,313,363,15,6,19,2610,539,896,41,19,0,50,6,33,821,24,25,0,0,3,290,9,0,7,5421
Kota Tanjung Balai,32583,5704,7840,19039,289,0,307,2706,318,0,0,0,1064,151,869,2902,207,253,236,152,586,884,2420,200,182,2650,0,0,0,105,424,2894,75,0,92,114,399,0,0,119,62,0,32,665,95,3327,1693,529,421,499,254,16,0,12,1504,196,13,0,3,58,248,135,27,24,2354
Kota Pematang Siantar,35868,7096,10218,18554,500,21,1101,2429,889,218,40,101,477,99,1221,2735,590,216,58,57,477,3446,2074,563,142,3362,0,0,0,17,296,1160,40,0,236,1076,2085,0,0,1531,112,0,141,280,20,1007,952,283,117,158,33,562,0,12,2669,25,0,0,0,7,329,85,7,65,1887
Kota Tebing Tinggi,33877,6955,9012,17910,606,101,90,2793,318,12,72,12,1237,31,1683,3002,108,255,25,93,526,3044,1808,150,63,2663,0,0,0,185,617,2344,320,12,119,73,1197,0,0,681,188,0,65,260,111,1534,1423,195,216,276,190,347,4,28,1317,11,0,0,5,11,147,131,0,23,3217
Kota Medan,43721,10684,11242,21795,1071,9,444,4527,383,31,32,74,1122,305,2686,3506,311,95,332,252,914,3610,1955,267,232,4459,0,0,0,69,683,2054,37,7,141,1083,1714,0,0,1089,471,0,98,305,134,760,2181,681,108,322,183,149,7,26,1947,76,21,0,6,93,198,146,67,21,2459
Kota Binjai,34791,7920,9645,17226,571,12,638,3619,795,35,124,68,727,169,1162,3687,275,98,64,154,743,2318,1643,662,584,4774,0,0,0,128,138,1193,256,82,134,120,1744,0,0,901,137,9,86,400,228,481,2049,553,140,269,231,200,0,27,1684,53,48,0,9,12,138,24,10,7,961
Kota Padangsidimpuan,29038,5574,7477,15987,713,0,24,2123,451,2,9,0,983,107,1162,2869,363,238,161,123,413,2144,1024,143,27,4777,0,0,0,16,86,765,38,0,104,559,2009,0,0,589,198,0,0,43,0,1016,567,472,8,26,31,46,6,119,1679,64,18,6,29,131,1224,432,17,251,661
Kota Gunungsitoli,31603,7484,7270,16849,91,0,4141,1633,905,8,0,0,16,77,613,2630,661,2,11,52,426,2125,1336,27,102,7298,0,0,0,655,542,1574,316,197,366,0,32,0,0,71,1886,16,35,70,291,528,196,382,5,5,34,95,3,166,990,329,0,8,9,15,85,7,0,0,643
Kepulauan Mentawai,27843,5480,5830,16533,959,2,1570,1265,1230,22,0,0,76,18,338,2185,311,4,21,147,815,991,1283,72,542,4234,0,0,0,182,1329,314,273,90,317,112,12,0,0,308,466,208,23,0,24,4567,861,363,628,136,329,0,0,0,160,0,17,0,4,3,2,0,0,0,1571
Pesisir Selatan,22806,4226,5127,13453,41,0,0,2089,806,40,31,0,827,4,388,2380,191,77,83,55,304,1228,724,85,1450,4154,0,0,0,236,1036,1438,469,30,40,111,919,0,0,584,120,23,15,12,8,1306,327,293,11,96,11,58,21,54,980,84,96,0,3,21,231,2,8,74,582
Solok,25185,8048,6445,10692,1796,0,18,3910,438,11,32,19,471,61,1292,2714,45,673,228,176,442,1428,468,272,119,2831,0,0,0,5,565,12,32,19,0,148,1901,0,0,176,0,0,91,4,10,514,100,41,0,20,26,143,40,133,1433,180,960,58,68,61,481,94,0,27,519
Sijunjung,21880,6180,5528,10172,791,0,0,3087,728,140,8,13,744,36,633,2672,84,179,62,41,536,1491,448,14,75,2365,0,0,0,23,0,15,131,0,53,149,2496,0,0,716,12,0,833,0,18,452,164,16,0,8,1,86,14,41,1291,131,398,73,21,66,480,17,0,20,82
Tanah Datar,27905,8490,7084,12331,2098,0,19,3507,351,49,14,85,1107,10,1250,3057,185,510,116,212,415,1775,811,3,40,2567,0,0,0,100,51,139,12,0,69,153,3232,0,0,389,0,0,216,0,90,498,87,111,0,19,0,23,48,67,1813,170,1294,13,320,17,240,16,5,66,506
Padang Pariaman,25585,7069,5348,13168,1375,0,25,2393,343,91,0,17,709,246,1870,2696,246,81,136,146,501,861,593,89,574,2705,0,0,0,96,902,2672,138,9,122,184,1179,0,0,199,76,0,7,3,35,932,347,164,6,9,3,46,9,76,620,70,264,29,13,12,146,3,0,13,2079
Agam,29219,8257,6603,14359,1684,8,0,3796,492,11,12,3,426,62,1763,2943,350,400,102,52,329,1678,628,122,60,3482,0,0,0,156,269,1008,135,14,82,599,2930,0,0,453,33,0,55,2,4,556,494,201,4,23,25,69,75,64,1078,251,676,15,58,54,397,29,5,88,975
Lima Puluh Kota,23747,5851,5623,12273,841,0,7,2614,262,75,0,21,1121,153,757,2624,123,214,159,21,266,1464,660,93,20,1397,0,0,0,25,21,102,22,12,34,249,3368,0,0,541,29,0,171,0,76,270,166,38,0,55,118,73,278,322,2001,181,1088,26,316,249,695,82,0,61,207
Pasaman,23209,6510,4990,11709,509,75,14,3596,378,13,0,0,564,181,1180,2558,291,159,29,83,230,851,774,14,140,2393,0,0,0,128,0,7,142,4,138,1116,2834,0,0,239,0,0,64,61,4,382,319,254,0,0,73,254,28,271,1107,134,73,7,79,59,497,171,0,16,855
Solok Selatan,23567,6801,5852,10914,701,0,0,3434,675,399,0,22,566,26,978,2598,200,508,171,70,568,908,744,84,28,2505,0,0,0,0,19,74,56,4,170,135,2562,0,0,455,31,5,142,0,43,1388,104,97,0,0,24,61,28,142,1829,69,337,25,54,136,261,53,4,0,101
Dharmasraya,30417,10672,6927,12818,973,27,0,3922,2135,168,0,24,1658,163,1602,3118,223,123,171,34,897,1791,526,43,10,1862,0,0,0,29,169,328,73,24,367,68,2945,0,0,794,39,0,941,27,18,1334,418,104,0,14,9,87,1,53,1716,77,281,70,60,242,256,18,5,0,389
Pasaman Barat,23979,4229,5167,14583,616,0,21,2069,409,26,1,0,351,29,707,2620,242,23,8,86,469,745,844,132,317,3380,0,0,0,366,227,1752,167,31,567,195,2117,0,0,552,92,18,68,7,18,957,520,185,13,83,2,126,31,329,1286,146,102,20,74,0,455,78,2,78,539
Kota Padang,37088,11238,9540,16310,1692,0,0,4402,222,49,1,15,918,109,3830,3153,173,155,201,505,490,3342,1367,155,84,4258,0,0,0,110,176,1391,541,5,179,91,1470,0,0,430,175,8,63,28,43,2470,772,567,65,20,29,10,2,17,831,31,514,7,96,50,280,14,9,23,1535
Kota Solok,34924,11018,9186,14720,3188,0,22,4017,346,60,5,35,1107,57,2181,3252,126,401,276,71,401,3709,713,238,78,3447,0,0,0,114,980,176,17,18,60,205,3069,0,0,402,24,0,206,0,50,607,768,271,17,0,244,94,32,26,1359,240,1169,16,171,136,71,14,0,5,712
Kota Sawah Lunto,29207,9406,8440,11361,2622,0,41,4229,359,0,0,58,1038,46,1013,3803,164,153,112,290,556,2341,1018,4,64,2772,0,0,0,39,111,186,64,0,152,31,3531,0,0,823,3,0,453,6,37,261,201,139,0,0,124,80,25,172,1055,79,731,45,33,51,41,13,0,0,103
Kota Padang Panjang,35857,13475,8626,13756,4394,0,22,4269,357,53,87,69,867,190,3167,3196,196,430,164,254,321,3037,967,61,18,3164,0,0,0,164,52,1342,22,6,304,158,2201,0,0,428,0,31,56,0,7,503,620,484,0,18,0,144,23,48,1157,33,810,19,216,148,299,2,11,7,1279
Kota Bukittinggi,38320,12509,9710,16101,2548,0,0,4234,459,2,29,80,1028,139,3990,3099,229,406,174,363,348,3551,1287,254,14,4105,0,0,0,379,177,117,8,61,99,733,2528,0,0,533,158,0,224,0,79,377,754,528,0,0,266,15,49,94,1143,93,928,3,234,166,317,19,34,7,1873
Kota Payakumbuh,39253,13293,9377,16583,2631,34,0,3710,278,31,63,30,2290,138,4088,2956,140,324,296,116,397,3697,1136,315,66,2216,0,0,0,133,386,127,130,27,71,149,4165,0,0,408,0,0,313,0,157,262,855,261,64,11,1,115,57,156,1732,184,941,19,98,276,169,36,4,25,3035
Kota Pariaman,39074,10224,8622,20228,1203,0,0,2756,292,30,51,19,1122,94,4657,3026,349,74,95,503,693,3106,503,274,167,4176,0,0,0,210,649,3263,145,40,117,28,1193,0,0,441,325,0,21,0,21,2021,1105,672,144,11,0,37,12,20,555,60,193,5,29,8,97,0,0,17,4613
Kuantan Singingi,28298,7290,7106,13902,545,0,28,4201,569,40,0,0,1277,87,543,3215,189,81,74,88,786,1405,1230,38,6,860,0,0,0,0,113,122,166,11,507,51,2897,0,0,916,12,3,1684,64,36,1159,778,47,18,95,9,167,16,111,2498,33,224,11,21,111,858,84,2,16,202
Indragiri Hulu,30428,7840,8184,14404,364,96,133,3899,810,174,0,0,1593,104,667,3082,129,37,51,184,958,1337,2324,84,0,636,0,0,0,11,104,194,0,56,1907,32,2635,0,0,1078,16,0,1637,64,147,1455,716,101,68,33,112,113,24,87,2315,9,34,8,102,89,293,12,0,22,294
Indragiri Hilir,28993,5020,7493,16480,74,7,15,3093,550,23,14,10,408,79,747,3493,144,62,47,84,1135,715,1767,46,36,902,0,0,0,401,280,1050,93,65,961,71,746,0,0,321,235,0,497,255,70,3278,1873,280,130,531,503,110,5,15,1672,3,54,1,6,88,1308,63,12,173,428
Pelalawan,37797,8997,8828,19972,732,16,61,4751,1450,28,19,2,969,83,886,3523,235,70,93,219,1374,1984,1209,121,50,1703,0,0,0,95,218,728,135,47,2400,151,2180,0,0,1400,34,14,2230,32,86,2111,1672,464,181,96,61,231,22,32,2448,156,116,11,107,107,406,31,3,5,259
Siak,36481,8380,9380,18721,452,64,198,4442,1106,85,9,0,943,26,1055,3660,361,115,124,178,1053,1660,1938,290,11,1940,0,0,0,162,401,501,417,71,2080,131,1948,0,0,2238,193,35,1201,169,71,1382,993,450,49,125,136,269,47,170,2065,158,151,17,51,89,335,38,12,30,596
Kampar,28566,6635,7091,14840,405,0,43,3969,762,61,13,0,728,53,601,3320,91,115,84,160,822,948,1341,209,20,1268,0,0,0,50,271,550,34,67,1164,161,1962,0,0,1108,63,27,1639,75,44,1487,540,232,20,153,99,104,27,37,2320,247,156,0,20,149,349,40,22,6,349
Rokan Hulu,30507,7564,7350,15593,746,8,82,3748,1565,104,24,11,554,56,666,3263,316,44,107,68,829,791,1675,256,37,1373,0,0,0,0,11,380,304,13,1589,33,2340,0,0,1141,4,15,1460,17,51,2064,326,175,35,92,8,138,12,150,2156,76,149,5,155,131,851,125,9,28,177
Bengkalis,32090,6693,8167,17230,683,0,166,3508,771,200,91,7,491,98,678,3259,122,69,149,173,1067,1592,1417,320,66,1500,0,0,0,1039,1144,999,161,55,1153,100,1219,0,0,909,136,10,819,144,127,2293,1163,242,57,268,96,193,13,32,1970,216,134,3,30,123,237,77,19,40,509
Rokan Hilir,28420,6212,6414,15794,561,0,104,3292,959,18,1,0,875,66,336,2584,119,74,70,49,1067,762,1590,99,18,1159,0,0,0,16,254,1180,150,56,3218,310,743,0,0,833,49,8,612,127,154,2383,594,57,140,686,10,125,11,49,1358,205,111,5,159,62,454,397,0,28,91
Kepulauan Meranti,29256,5593,6737,16926,185,37,236,2932,341,0,0,20,399,145,1298,3067,92,17,125,30,785,1023,1581,18,47,1783,0,0,0,930,793,1337,110,4,146,0,54,0,0,225,91,0,192,50,42,4444,2744,131,29,726,137,345,42,19,1010,13,0,15,0,82,892,113,41,44,342
Kota Pekanbaru,39142,9649,10148,19345,1364,21,115,4860,315,3,18,11,629,179,2134,3587,100,105,219,529,557,3681,1026,344,77,2214,0,0,0,222,345,388,49,17,660,241,2270,0,0,1476,280,15,1317,66,203,2923,1573,598,41,75,140,80,17,80,2298,64,350,7,39,127,362,8,9,7,784
