Kabupaten/Kota,TOTAL,DAGING,TELUR DAN SUSU,IKAN,Daging_sapi,"Daging_kambing,_domba/biri-biri",Daging_babi,Daging_ayam_ras,Daging_ayam_kampung,Daging_segar_lainnya,Daging_diawetkan_lainnya,"Tetelan,_sandung_lamur",Daging_olahan_matang,"Lainnya_(_hati,_jeroan,_iga,_kaki,_buntut,_kepala,_dsb)",Ayam_matang,Telur_ayam_ras,Telur_ayam_kampung,Telur_itik/telur_itik_manila,"Telur_lainnya_(telur_puyuh,_telur_asin_mentah_maupun_matang,_telur_penyu,_telur_angsa,_dsb)",Susu_cair_pabrik,Susu_kental_manis,Susu_bubuk,Susu_bubuk_bayi,Susu_lainnya_dan_hasil_lain_dari_susu,Ekor_kuning,Tongkol_tuna_cakalang_dencis_ikan_kayu,Tongkol,Tuna,"Cakalang,dencis",Tenggiri,Selar,"Kembung,_lema/tatare,_banyar/banyara",Teri,Bandeng,Gabus,Mujair,"Mas,_nila",Mas,Nila,Lele,Kakap,Baronang,Patin,Bawal,Gurame,Ikan_segar/basah_lainnya,"Udang,_lobster","Cumi-cumi,_sotong,_gurita","Ketam,_kepiting,_rajungan","Kerang,_siput,_bekicot,_remis",Udang_dan_hewan_air_lainnya_yang_segar_lainnya,Kembung_diawetkan/peda,Tenggiri_diawetkan,Tongkol/tuna/cakalang_diawetkan,Teri_diawetkan,Selar_diawetkan,Sepat_diawetkan,Bandeng_diawetkan,Gabus_diawetkan,"Ikan_dalam_kaleng_(sardencis,_tuna_dalam_kaleng,_dsb)",Ikan_diawetkan_lainnya,"Udang_diawetkan_(ebi,_rebon)","Cumi-cumi,_sotong,_gurita_diawetkan",ang_dan_hewan_air_lainnya_yang_diawetkan,Ikan_matang
Buru Selatan,17170,1862,3140,12168,78,17,233,237,287,616,161,0,10,0,223,1006,136,7,4,70,329,546,1041,0,546,3118,0,0,0,54,780,339,25,52,38,0,13,0,0,0,1258,452,0,0,0,5036,18,138,0,0,7,0,6,543,0,34,0,3,0,0,73,0,3,0,178
Kota Ambon,33234,5533,11816,15885,178,0,265,3137,695,223,193,15,143,16,668,2920,119,2,64,419,378,4172,3328,415,442,4042,0,0,0,108,1769,1891,325,3,0,0,6,0,0,15,200,27,0,6,28,5317,167,225,13,0,0,0,23,577,6,12,0,0,0,19,71,0,0,0,1035
Kota Tual,21975,2298,6022,13655,194,0,94,1487,165,0,0,0,19,0,339,2104,100,3,20,223,191,1609,1742,30,533,1943,0,0,0,250,789,1007,630,59,0,0,8,0,0,23,1864,670,46,7,50,5270,60,472,132,34,0,6,7,0,0,3,6,0,1,3,112,32,0,3,168
Halmahera Barat,21064,2539,4885,13640,189,0,254,752,431,50,0,0,144,6,713,1836,113,0,10,162,270,867,1627,0,2156,5478,0,0,0,482,1607,752,123,7,48,203,63,0,0,15,330,215,0,135,0,2909,18,169,0,0,29,6,0,146,428,40,0,0,0,0,113,0,0,14,310
Halmahera Tengah,20492,2879,5266,12347,125,7,59,1028,580,186,0,0,34,2,858,2256,234,0,7,301,672,556,1240,0,1210,3823,0,0,0,247,2362,1667,73,25,4,32,88,0,0,7,596,78,26,20,152,1392,16,195,22,120,25,58,9,356,92,17,0,0,0,48,116,0,17,0,664
Kepulauan Sula,15581,1091,3258,11232,212,0,0,138,104,11,0,0,0,0,626,1607,214,0,0,127,381,160,713,56,1378,2771,0,0,0,281,2642,1158,214,0,0,8,0,0,0,0,2091,145,0,0,0,607,143,411,52,3,0,0,74,269,100,75,0,0,0,0,7,0,14,0,167
Halmahera Selatan,16541,1103,3388,12050,53,7,146,313,233,72,0,0,27,0,252,1025,175,18,9,287,237,811,826,0,600,3538,0,0,0,60,1995,1047,119,0,0,7,0,0,0,0,1052,7,0,0,0,2438,101,245,44,0,0,15,0,446,93,107,0,0,0,0,127,4,0,0,605
Halmahera Utara,19311,2319,3949,13043,195,0,290,1130,476,0,0,0,0,9,219,1679,10,0,0,236,383,692,949,0,1355,3799,0,0,0,129,2509,1110,341,0,0,334,131,0,0,153,811,10,24,405,0,2189,153,176,40,0,0,11,0,156,318,0,0,0,0,8,0,0,7,0,229
Halmahera Timur,24625,3600,4608,16417,343,64,134,1025,873,54,0,0,35,0,1072,2151,194,62,0,146,533,493,1030,0,972,4856,0,0,0,188,213,4009,392,25,99,0,143,0,0,8,1197,247,0,7,9,2943,325,320,53,66,11,111,0,93,548,12,0,6,0,29,6,0,8,0,493
Pulau Morotai,16631,2867,3000,10764,399,81,510,502,878,25,0,0,89,5,378,1788,142,1,4,222,239,202,399,2,2011,4676,0,0,0,127,613,60,361,18,0,5,0,0,0,0,770,68,0,0,0,2747,15,305,0,6,18,21,13,279,142,5,0,0,0,1,78,0,0,0,436
